car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh)
KIA,SORENTO,46000.0,2151.0,Automatic Transmission,Diesel,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021,5532637.0
MERCEDES,CLS CLASS,99000.0,4300.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2016,5711652.0
MERCEDES,S CLASS,135000.0,2996.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019,7913997.0
BMW,5 SERIES,13000.0,1998.0,Automatic Transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2023,6982967.0
LAND,ROVER DEFENDER 110X D300,5000.0,3000.0,Automatic Transmission,Hybrid,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2023,12155848.999999987
SUZUKI,SWIFT SPORT,1000.0,1400.0,Manual Transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2021,4022166.0
LAND,ROVER RANGE ROVER SPORT 3.0 D300 MHEV HSE DYNAMIC BLACK AUTO 4WD EURO 6 (S/S) 5DR,18000.0,3000.0,Automatic Transmission,Diesel,RHD,4WD,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,0,2022,12155848.999999987
BMW,7 SERIES,123000.0,2993.0,Automatic Transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019,8502546.0
KIA,K8,12000.0,3470.0,Automatic Transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022,4728173.0
NISSAN,AURA,11000.0,1200.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2022,3500355.0
CHEVROLET,CAMARO,1000.0,1990.0,Automatic Transmission,Petrol,LHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2022,5957912.0
TOYOTA,PRIUS A,60000.0,1800.0,Automatic Transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2019,2986396.0
SUBARU,IMPREZA SPORT 1.6I L,143000.0,1590.0,Automatic Transmission,Petrol,RHD,2WD,5 Seats,5 Doors,hatchback,1,1,0,1,1,1,1,1,2015,651831.0
KIA,MOHAVE,44000.0,2959.0,Automatic Transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2022,6545952.0
GENESIS,G80,38000.0,2497.0,Automatic Transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021,6296745.0
HONDA,CIVIC,14000.0,1500.0,Automatic Transmission,Petrol,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,0,2022,3373475.0
MERCEDES,GLC CLASS,13000.0,1991.0,Automatic Transmission,Hybrid,LHD,4WD,4 Seats,4 Doors,coupe,1,1,0,1,0,0,1,1,2020,7676095.0
MERCEDES,S CLASS,47000.0,4300.0,Automatic Transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020,12155848.999999987
BMW,7 SERIES,8000.0,2998.0,Automatic Transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2023,12155848.999999987
HYUNDAI,PALISADE,37000.0,2199.0,Automatic Transmission,Diesel,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021,6038902.0
HYUNDAI,GRANDEUR,1000.0,1598.0,Automatic Transmission,Hybrid,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2023,6355161.0
GENESIS,G80,49000.0,3470.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021,6640955.0
MINI,MINI,80000.0,2000.0,Automatic Transmission,Petrol,RHD,Other,4 Seats,3 Doors,hatchback,1,1,0,1,0,0,1,1,2018,2272695.0
